beer_name,beer_style,brewery,abv,rating,astringent,body,alcoholic,bitter,sweet,sour,salty,fruity,hoppy,spices,malty
Dirty Little Freak,Brown Ale - American,DuClaw Brewing Company,5.8%,3.75,21,183,25,74,187,4,0,99,58,22,21
Underground Mountain Brown,Brown Ale - American,Founders Brewing Company,11.9%,4.36,23,155,142,155,100,11,0,9,47,41,23
Brown Ale,Brown Ale - American,The Duck-Rabbit Craft Brewery,5.6%,3.73,32,153,26,182,141,51,0,42,189,21,32
Board Meeting,Brown Ale - American,Port Brewing,8%,4.17,24,199,30,212,128,8,1,9,77,10,24
Dos Perros,Brown Ale - American,Yazoo Brewing Company,4.9%,3.65,30,122,7,73,148,29,0,21,64,14,30
Humboldt Brown (Ale Brewed With Hemp),Brown Ale - American,Humboldt Brewing Co.,5.7%,3.49,23,113,10,72,118,28,0,29,110,11,23
Imperial Nut Brown Ale,Brown Ale - American,Tommyknocker Brewery,9%,3.75,19,127,78,69,292,19,0,22,60,11,19
Autumn Ale,Brown Ale - American,Breckenridge Brewery,7%,3.6,28,123,41,75,128,42,0,44,84,25,28
Okie,Brown Ale - American,Prairie Artisan Ales,12%,4.14,17,148,156,28,163,41,0,40,21,38,17
Peter Brown Tribute Ale,Brown Ale - American,Bear Republic Brewing Co.,6.3%,3.89,32,200,25,112,167,24,0,22,93,12,32
Good Humans Ale,Brown Ale - American,Short's Brewing Company,9.15%,3.83,43,119,41,197,168,109,0,107,239,9,43
Decadent Dark Chocolate Ale,Brown Ale - American,Atwater Brewery,4.5%,3.74,29,367,37,119,275,12,1,8,51,37,29
Sweet Josie Brown Ale,Brown Ale - American,Lonerider Brewing Company,6.1%,3.8,19,151,13,109,134,13,1,11,74,8,19
Bravo 2017,Brown Ale - American,Firestone Walker Brewing Co.,13.2%,4.29,20,141,176,52,161,29,2,47,51,46,20
No Crusts,Brown Ale - American,Funky Buddha Brewery,6%,4.2,31,192,14,22,152,30,5,87,22,5,31
Festivity Ale,Brown Ale - American,Goose Island Beer Co.,7.7%,3.66,28,99,43,56,174,71,1,76,80,50,28
Flashback Ale,Brown Ale - American,Boulder Beer / Wilderness Pub,6.8%,3.78,41,101,41,195,127,57,0,57,239,23,41
He'Brew Messiah Nut Brown Ale,Brown Ale - American,Shmaltz Brewing Company,5.2%,3.6,25,104,13,123,123,25,0,24,120,14,25
Coffee Okie,Brown Ale - American,Prairie Artisan Ales,13%,4.29,20,119,144,158,128,10,0,10,25,36,20
Madtown Nutbrown,Brown Ale - American,Ale Asylum,5.5%,3.7,22,136,10,54,103,25,0,21,62,3,22
Hash Brown,Brown Ale - American,SweetWater Brewing Company,6.2%,3.87,23,94,13,172,90,71,4,75,219,6,23
Improv (Improvisación) Oatmeal Rye India-Style Brown Ale,Brown Ale - American,Cigar City Brewing,9%,3.82,36,144,33,161,98,83,0,70,191,55,36
Wynona's Big Brown Ale,Brown Ale - American,Voodoo Brewery,7.5%,3.85,30,191,22,118,129,27,0,20,97,14,30
Brown,Brown Ale - American,Good People Brewing Company,5.8%,3.8,25,119,15,94,142,25,1,19,122,11,25
The Barista,Brown Ale - American,Clown Shoes,8.5%,3.98,26,183,23,166,124,41,2,11,54,7,26
Saranac Brown Ale,Brown Ale - American,Matt Brewing Company / Saranac Brewery,6%,3.4,35,137,15,146,142,40,2,31,175,11,35
Leffe Brune / Brown,Brown Ale - Belgian Dark,Abbaye de Leffe S.A.,6.5%,3.82,25,114,25,44,202,52,0,66,50,36,25
Noire De Chambly / Chambly Noire,Brown Ale - Belgian Dark,Unibroue,6.2%,3.72,22,104,28,31,153,78,1,95,27,59,22
Belgian Freeze Belgian Style Winter Ale,Brown Ale - Belgian Dark,River Horse Brewing Co.,8%,3.61,22,92,47,40,173,79,1,79,52,54,22
Cold Front,Brown Ale - Belgian Dark,Ithaca Beer Company,7.2%,3.66,31,112,46,52,178,97,0,85,60,68,31
Grottenbier,Brown Ale - Belgian Dark,Brouwerij St. Bernardus NV,6.5%,3.8,38,95,23,32,125,93,1,87,45,67,38
Petrus Winterbier,Brown Ale - Belgian Dark,De Brabandere,6.5%,3.62,52,75,28,17,149,125,1,98,30,66,52
Petrus Speciale,Brown Ale - Belgian Dark,De Brabandere,6.5%,3.28,46,70,21,49,129,116,1,89,74,18,46
Kapittel Pater,Brown Ale - Belgian Dark,Leroy Breweries,6%,3.61,32,113,28,60,197,76,0,89,78,32,32
La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),Brown Ale - Belgian Dark,Brasserie Artisanale De Rulles SPRL,7.3%,3.85,42,113,42,53,188,106,0,97,53,64,42
Werewolf,Brown Ale - Belgian Dark,Rinkuškiai,8.2%,2.95,18,67,75,39,170,68,0,75,40,11,18
Bink Bruin,Brown Ale - Belgian Dark,Brouwerij Kerkom,5.5%,3.62,23,90,24,69,167,66,0,73,69,23,23
Newcastle Brown Ale,Brown Ale - English,Heineken Nederland B.V.,4.7%,3.33,20,122,8,45,118,21,0,13,63,1,20
Hazelnut Brown Nectar,Brown Ale - English,Rogue Ales,5.6%,4.09,18,136,9,60,123,5,0,5,52,12,18
Nut Brown Ale,Brown Ale - English,Samuel Smith Old Brewery (Tadcaster),5%,4.1,33,121,15,76,124,19,2,20,88,5,33
Maduro Brown Ale,Brown Ale - English,Cigar City Brewing,5.5%,3.94,38,186,22,99,151,38,0,26,90,25,38
Turbodog,Brown Ale - English,Abita Brewing Co.,5.6%,3.68,26,147,17,104,157,27,0,32,90,15,26
Southern Pecan,Brown Ale - English,Lazy Magnolia Brewing Company,4.5%,3.59,25,95,19,36,136,29,0,32,45,8,25
Fat Squirrel,Brown Ale - English,New Glarus Brewing Company,5.8%,3.81,36,109,18,79,101,31,0,24,92,11,36
Cubano-Style Espresso Brown Ale,Brown Ale - English,Cigar City Brewing,5.5%,4.13,37,206,18,203,116,23,0,4,56,52,37
Hexnut,Brown Ale - English,Goose Island Beer Co.,5.5%,3.77,25,145,19,70,140,20,0,16,75,7,25
Nut Brown Ale,Brown Ale - English,AleSmith Brewing Company,5%,4,39,171,12,93,132,27,0,20,85,11,39
Downtown Brown,Brown Ale - English,Lost Coast Brewery and Cafe,5%,3.67,23,155,6,62,156,17,0,22,62,8,23
Winter Ale,Brown Ale - English,Weyerbacher Brewing Co.,5.6%,3.47,23,138,36,52,139,35,0,34,45,66,23
Georgia Brown,Brown Ale - English,SweetWater Brewing Company,5.1%,3.6,32,113,10,80,145,16,0,15,87,6,32
Sticky Toffee Pudding,Brown Ale - English,Eagle Brewery,5%,3.47,25,138,29,63,208,14,1,24,58,14,25
Harvest,Brown Ale - English,Long Trail Brewing Co.,4.4%,3.68,41,81,18,71,153,34,0,28,89,16,41
Boffo Brown Ale,Brown Ale - English,Dark Horse Brewing Company,7%,3.79,18,150,16,123,147,25,2,27,115,5,18
Oatmeal Raisin Cookie Brown Ale,Brown Ale - English,Cigar City Brewing,5.5%,4.11,24,129,17,32,205,30,0,112,31,100,24
Rugged Trail Nut Brown Ale,Brown Ale - English,Tröegs Brewing Company,5%,3.74,26,143,17,87,128,16,0,15,73,11,26
